TSLA,1/9/2023,190.35
TSLA,2/9/2023,192.44
TSLA,3/9/2023,190.9
TSLA,4/9/2023,193.2
TSLA,5/9/2023,191.84
TSLA,6/9/2023,194.14
TSLA,7/9/2023,192.2
TSLA,8/9/2023,192.2
TSLA,9/9/2023,193.93
TSLA,10/9/2023,195.87
TSLA,11/9/2023,194.5
TSLA,12/9/2023,196.64
TSLA,1/9/2024,194.87
TSLA,2/9/2024,196.63
TSLA,3/9/2024,197.02
TSLA,4/9/2024,196.23
TSLA,5/9/2024,198.19
TSLA,6/9/2024,200.37
TSLA,7/9/2024,202.78
TSLA,8/9/2024,202.17
TSLA,9/9/2024,201.97
TSLA,10/9/2024,200.15
TSLA,11/9/2024,201.55
TSLA,12/9/2024,200.14
TSLA,1/9/2025,198.74
TSLA,2/9/2025,197.55
TSLA,3/9/2025,198.34
TSLA,4/9/2025,197.74
TSLA,5/9/2025,198.33
TSLA,6/9/2025,198.14
TSLA,7/9/2025,199.13
TSLA,8/9/2025,201.72
TSLA,9/9/2025,201.92
TSLA,10/9/2025,203.94
TSLA,11/9/2025,204.96
TSLA,12/9/2025,203.73
TSLA,1/9/2026,203.73
TSLA,2/9/2026,201.89
TSLA,3/9/2026,203.51
TSLA,4/9/2026,202.9
TSLA,5/9/2026,205.74
TSLA,6/9/2026,204.09
TSLA,7/9/2026,203.89
TSLA,8/9/2026,204.7
TSLA,9/9/2026,205.32
TSLA,10/9/2026,205.32
TSLA,11/9/2026,203.67
TSLA,12/9/2026,204.08
TSLA,1/9/2027,202.25
TSLA,2/9/2027,201.84
TSLA,3/9/2027,200.02
TSLA,4/9/2027,200.02
TSLA,5/9/2027,201.62
TSLA,6/9/2027,202.63
TSLA,7/9/2027,201.21
TSLA,8/9/2027,204.03
TSLA,9/9/2027,204.24
TSLA,10/9/2027,204.44
TSLA,11/9/2027,206.28
TSLA,12/9/2027,207.93
TSLA,1/9/2028,206.06
TSLA,2/9/2028,204.62
TSLA,3/9/2028,203.18
TSLA,4/9/2028,204.2
TSLA,5/9/2028,202.36
TSLA,6/9/2028,204.99
TSLA,7/9/2028,204.79
TSLA,8/9/2028,207.65
TSLA,9/9/2028,206.2
TSLA,10/9/2028,205.17
TSLA,11/9/2028,204.14
TSLA,12/9/2028,203.12
TSLA,1/9/2029,203.53
TSLA,2/9/2029,202.1
TSLA,3/9/2029,201.3
TSLA,4/9/2029,202.1
TSLA,5/9/2029,202.51
TSLA,6/9/2029,204.94
TSLA,7/9/2029,204.53
TSLA,8/9/2029,204.73
TSLA,9/9/2029,205.55
TSLA,10/9/2029,208.02
TSLA,11/9/2029,207.18
TSLA,12/9/2029,206.36
TSLA,1/9/2030,205.94
TSLA,2/9/2030,205.74
TSLA,3/9/2030,206.15
TSLA,4/9/2030,206.15
TSLA,5/9/2030,205.12
TSLA,6/9/2030,203.27
TSLA,7/9/2030,204.29
TSLA,8/9/2030,206.94
TSLA,9/9/2030,209.43
TSLA,10/9/2030,207.75
TSLA,11/9/2030,208.37
TSLA,12/9/2030,211.08
TSLA,1/9/2031,212.77
TSLA,2/9/2031,214.05
TSLA,3/9/2031,212.12
TSLA,4/9/2031,214.24
TSLA,5/9/2031,214.89
TSLA,6/9/2031,213.6
TSLA,7/9/2031,213.6
TSLA,8/9/2031,214.24
TSLA,9/9/2031,215.52
TSLA,10/9/2031,216.6
